no,persona,scenario,turn_count,history,response,label,reason,reason_detail,axis
127,형제·자매,업무 대화,2,"나: 이번 일은 기준을 분명히 정했으면 해.
오빠: 내가 보낸 자료를 확인하지 않고 빠졌다고 한 건 솔직히 속상했어.",다음에는 나도 똑같이 해줄 테니까 기억해. 나중에 후회해도 소용없어.,부적절,N5,위협·보복·관계 단절 등을 언급해 갈등을 불필요하게 확대함,pragmatic_issue
128,선후배,일상 대화,3,"선배: 요즘 같은 생각이 자꾸 반복돼요.
나: 지금 가장 힘든 부분이 무엇인가요?
선배: 혼자 밥 먹는 날이 계속되니까 생각보다 외롭더라",그랬구나. 많이 마음 쓰였겠다. 한 번의 결과로 네 노력이 사라지는 건 아니야.,적절,P1,상대가 드러낸 감정과 상황을 인정하고 위로하거나 격려함,ok
129,직장 관계(상사·동료),업무 대화,4,"나: 서로 다르게 이해한 부분이 있는 것 같습니다.
선임: 아까는 감정적으로 말해서 다시 정리하고 싶어요.
나: 같은 일이 없으려면 무엇을 바꾸면 될까요?
선임: 역할을 바꾸려면 저에게 먼저 이야기해주셨어야죠",책임감이 너무 부족하신 것 같습니다. 결국 문제는 항상 본인이네요.,부적절,N4,상대를 직접 비난·조롱하거나 인격을 공격하는 표현을 사용함,pragmatic_issue
130,연인,정보 공유,2,"나: 확인해야 할 내용은 다 정리됐어?
연인: 택배는 오늘 저녁 여덟 시쯤 도착 예정이래",알겠어. 일정이 그렇게 정해졌구나. 일정이 가까워지면 다시 한 번 확인하자. 시간이나 준비해야 할 내용도 같이 바뀐 건 없어?,적절,P4,상대의 말에 자연스럽게 호응하고 관련된 질문으로 대화를 이어감,ok
131,부모님,정보 공유,3,"엄마: 변경된 부분이 하나 있어.
나: 시간은 그대로야?
엄마: 병원 예약은 다음 주 화요일 오전 열 시로 잡혔어",확인됐구나. 관련해서 준비할 게 있는지도 봐야겠다. 시간이나 준비해야 할 내용도 같이 바뀐 건 없어?,적절,P4,상대의 말에 자연스럽게 호응하고 관련된 질문으로 대화를 이어감,ok
132,형제·자매,질문·요청,2,"나: 아까 물어볼 게 있다던데 뭔데?
형: 이번 모임 예약을 대신해줄 수 있어?","응, 인원과 시간 확인해서 예약해둘게. 처리한 뒤 한 번 더 확인할게.",적절,P2,상대의 질문이나 요청에 직접 답하고 필요한 행동을 분명히 약속함,ok
133,친구,질문·요청,3,"친구: 관련된 사람들과 얘기해서 정리했어.
나: 그 기준으로 진행하면 되는 거야?
친구: 예약 인원은 네 명으로 넣으면 되는 거지?","응, 네 명으로 넣으면 돼. 그 내용은 내가 메모해둘게.",적절,P5,과도한 감정 표현 없이도 현재 대화의 목적과 맥락에 맞게 반응함,ok
134,부모님,갈등 상황,1,아빠: 일정을 바꾸려면 당사자에게 먼저 얘기했어야죠,또 남 탓할 생각부터 하는 거야? 이제는 핑계도 지겹다.,부적절,N4,상대를 직접 비난·조롱하거나 인격을 공격하는 표현을 사용함,pragmatic_issue
135,선후배,일상 대화,2,"나: 지난번에 말씀하신 일은 어떻게 됐나요?
후배: 어제 혼자 전시회에 갔는데 천천히 볼 수 있어서 오히려 좋았어요","응, 그 뒤 이야기도 궁금하다. 네가 어떤 부분을 좋아했는지 더 듣고 싶어. 작품 중에서 제일 오래 보고 온 건 뭐였어?",적절,P4,상대의 말에 자연스럽게 호응하고 관련된 질문으로 대화를 이어감,ok
136,친구,고민·감정 상담,2,"나: 감정 더 상하기 전에 차분히 얘기하자.
친구: 계속 내가 먼저 연락하는 것 같아서 관계가 한쪽으로 기운 느낌이야",그 정도도 혼자 못 하면 뭘 할 수 있는데? 조금이라도 미안한 줄은 알아?,부적절,N4,상대를 직접 비난·조롱하거나 인격을 공격하는 표현을 사용함,pragmatic_issue
137,친구,정보 공유,1,친구: 수리 일정이 다음 주로 밀려서 당분간 불편할 것 같아 걱정이야,별일도 아닌데 너무 의미를 두는 것 같아. 네가 스스로 문제를 크게 만드는 것 같아.,부적절,N2,상대의 감정이나 어려움을 축소·무시하거나 유난으로 취급함,pragmatic_issue
138,형제·자매,질문·요청,4,"나: 선택지 때문에 망설이는 게 있어?
언니: 일단 해보기 전에 한 번 물어보고 싶었어.
나: 지금까지 해본 건 뭐가 있어?
언니: 노트북이 느려졌는데 포맷하기 전에 해볼 만한 게 있을까?","내 생각에는 포맷하기 전에 시작 프로그램과 저장 공간부터 정리하고, 작업 관리자에서 자원을 많이 쓰는 프로그램을 확인해봐. 확인한 순서와 결과를 짧게 메모해두는 것도 좋아.",적절,P3,상황에 맞는 구체적인 정보나 실행 가능한 조언을 제공함,ok
139,선후배,업무 대화,4,"나: 아까 문의하실 내용이 있다고 들었어요.
후배: 제가 놓친 부분이 있는지 봐주셨으면 합니다.
나: 제가 할 수 있는 일인지 말씀해주세요.
후배: 신입에게 전달할 인수인계 문서를 같이 확인해주실래요?",그건 다른 사람한테 물어보는 게 빠를 것 같아요. 급한 거 아니면 다음에 보자.,부적절,N3,상대의 질문이나 요청에 답하지 않고 회피하거나 떠넘김,pragmatic_issue
140,선후배,업무 대화,2,"나: 아까 연락 주신 이유가 부탁할 내용 때문인가요?
선배: 오류가 발생한 계정 목록을 정리해서 공유해주실 수 있나요?","네, 확인된 계정을 정리해서 오늘 안에 공유드리겠습니다. 관련된 내용까지 같이 확인해보겠습니다.",적절,P2,상대의 질문이나 요청에 직접 답하고 필요한 행동을 분명히 약속함,ok
141,직장 관계(상사·동료),갈등 상황,2,"나: 아까 일은 그냥 넘기지 말고 이야기했으면 합니다.
선임: 고객사에 확정되지 않은 내용을 먼저 전달하시면 곤란합니다",계속 말이 통하지 않으면 더 이상 연락하지 맙시다. 제가 얼마나 화났는지 확실히 보여드리겠습니다.,부적절,N5,위협·보복·관계 단절 등을 언급해 갈등을 불필요하게 확대함,pragmatic_issue
142,형제·자매,질문·요청,3,"언니: 일단 지금 기준으로 결정된 게 있어.
나: 응, 확인된 내용 말해줘.
언니: 토요일과 일요일 중 어느 날이 더 편해?",내 일정은 일요일이 더 여유 있어. 다른 내용은 그대로 두면 돼.,적절,P5,과도한 감정 표현 없이도 현재 대화의 목적과 맥락에 맞게 반응함,ok
143,선후배,정보 공유,2,"나: 아까 말씀하신 계획은 그대로인가요?
후배: 교육 일정은 월요일과 수요일로 정해졌어요",좋아. 현재 확정된 내용으로 정리해두겠습니다. 변경 사항이 생기면 다시 알려주세요.,적절,P5,과도한 감정 표현 없이도 현재 대화의 목적과 맥락에 맞게 반응함,ok
144,선후배,고민·감정 상담,1,선배: 번아웃인지 단순히 피곤한 건지 구분하려면 뭘 살펴봐야 할까요?,"이 경우에는 수면과 식사, 집중력 저하가 얼마나 오래됐는지 먼저 기록해보고, 쉬어도 회복되지 않으면 상담이나 진료도 고려해봐. 대화가 격해지면 잠깐 멈추고 다시 이야기할 시간을 정해봐.",적절,P3,상황에 맞는 구체적인 정보나 실행 가능한 조언을 제공함,ok
145,직장 관계(상사·동료),업무 대화,1,동료: 이번 주 일정표에 변경된 담당자를 반영해주실 수 있나요?,알겠습니다. 변경된 내용으로 반영한 뒤 다시 확인하겠습니다. 완료되면 결과를 같이 확인하죠.,적절,P2,상대의 질문이나 요청에 직접 답하고 필요한 행동을 분명히 약속함,ok
146,연인,일상 대화,3,"연인: 오늘은 그냥 누군가한테 말하고 싶었어.
나: 그래, 편하게 얘기해도 돼.
연인: 요즘 사소한 일에도 예민해져서 나도 좀 당황스러워",그 상황이면 누구라도 힘들었을 거야. 혼자 감당하지 말고 힘들면 나한테 말해.,적절,P1,상대가 드러낸 감정과 상황을 인정하고 위로하거나 격려함,ok
147,친구,갈등 상황,4,"나: 아까 분위기가 안 좋았는데 무슨 일이었어?
친구: 이번 일은 솔직히 서운한 부분이 있어.
나: 내가 뭘 놓쳤는지 말해줘.
친구: 확정되지 않은 내용은 외부에 전달하지 말아주실 수 있을까?",알겠어. 다음부터는 먼저 이야기하고 네 의견을 확인할게. 빠뜨리지 않도록 메모해둘게.,적절,P2,상대의 질문이나 요청에 직접 답하고 필요한 행동을 분명히 약속함,ok
148,선후배,갈등 상황,4,"나: 서로 다르게 이해한 부분이 있는 것 같습니다.
선배: 서로 오해한 부분이 있는 것 같아요.
나: 네, 먼저 입장을 말씀해주세요.
선배: 제가 맡은 일을 설명도 없이 다른 사람에게 넘긴 건 당황스러워요",이대로면 책임 소재를 공식적으로 따지겠습니다. 누가 더 불편해지는지 한번 해보죠.,부적절,N5,위협·보복·관계 단절 등을 언급해 갈등을 불필요하게 확대함,pragmatic_issue
149,연인,질문·요청,1,연인: 오는 길에 약국에 들러서 소화제 하나만 사다 줄래?,"응, 오는 길에 들러서 사갈게. 오늘 일정 안에서 처리해둘게.",적절,P2,상대의 질문이나 요청에 직접 답하고 필요한 행동을 분명히 약속함,ok
150,형제·자매,업무 대화,2,"나: 오늘은 평소보다 말이 없네. 무슨 일 있었어?
언니: 요즘 업무가 한꺼번에 몰려서 우선순위를 못 잡겠어.",그 정도는 네가 알아서 넘겨야지. 이제 그만 털고 일어나.,부적절,N2,상대의 감정이나 어려움을 축소·무시하거나 유난으로 취급함,pragmatic_issue
151,연인,고민·감정 상담,4,"나: 내가 놓친 게 있으면 말해줘.
연인: 내 입장도 한번 설명하고 싶어.
나: 어떻게 했으면 좋겠어?
연인: 상대가 내 감정을 가볍게 넘긴 것 같아서 속상해",매번 같은 실수를 하는 것도 능력이다. 그런 태도로 누가 널 이해해주겠어?,부적절,N4,상대를 직접 비난·조롱하거나 인격을 공격하는 표현을 사용함,pragmatic_issue
152,부모님,갈등 상황,4,"나: 서로 불편했던 부분은 한번 정리했으면 해.
아빠: 내 입장도 한번 설명하고 싶어.
나: 같은 일이 없으려면 뭘 바꾸면 될까?
아빠: 내가 맡은 일을 설명도 없이 다른 사람에게 넘긴 건 당황스러웠어.",네 태도부터 고쳐야 할 것 같은데. 다른 사람들까지 피해 보게 하지 마.,부적절,N4,상대를 직접 비난·조롱하거나 인격을 공격하는 표현을 사용함,pragmatic_issue
153,친구,질문·요청,1,친구: 역할을 바꾸기 전에 당사자와 먼저 상의해줄 수 있어?,네가 먼저 사과하지 않으면 나도 절대 물러서지 않을 거야. 오늘 안에 결론 내지 않으면 그냥 끝내자.,부적절,N5,위협·보복·관계 단절 등을 언급해 갈등을 불필요하게 확대함,pragmatic_issue
154,연인,정보 공유,2,"나: 요즘 잠도 잘 못 자는 것 같던데 괜찮아?
연인: 이사 날짜가 확정됐는데 준비할 시간이 부족해 보여서 불안해",그 정도 일은 누구나 겪어. 그냥 바쁘게 지내면 금방 잊어.,부적절,N2,상대의 감정이나 어려움을 축소·무시하거나 유난으로 취급함,pragmatic_issue
155,직장 관계(상사·동료),업무 대화,2,"나: 제가 놓친 부분이 있다면 말씀해주세요.
팀장: 제가 맡은 업무를 설명 없이 다른 사람에게 넘긴 건 당황스럽네요",다시 이런 일이 생기면 바로 문제를 확대하겠습니다. 더 이야기할 필요가 없으니 당분간 연락하지 마세요.,부적절,N5,위협·보복·관계 단절 등을 언급해 갈등을 불필요하게 확대함,pragmatic_issue
156,연인,질문·요청,1,연인: 토요일과 일요일 중 어느 날이 더 편해?,나는 일요일이 더 편해. 현재 기준에서는 더 정할 건 없어.,적절,P5,과도한 감정 표현 없이도 현재 대화의 목적과 맥락에 맞게 반응함,ok
157,직장 관계(상사·동료),업무 대화,3,"동료: 혼자 생각해봤지만 결정을 내리지 못했습니다.
나: 지금까지 시도해본 방법이 있나요?
동료: 보고서 수치가 다를 때 원인을 효율적으로 찾는 방법이 있을까요?","가장 먼저 원본 데이터의 기준일과 필터 조건부터 맞춘 뒤, 계산식과 수기 입력된 셀을 차례로 비교하는 게 빨라. 문제가 생긴 직전 변경 사항부터 역순으로 확인해봐.",적절,P3,상황에 맞는 구체적인 정보나 실행 가능한 조언을 제공함,ok
158,선후배,업무 대화,2,"나: 현재 기준으로 결정된 내용이 있나요?
선배: 다음 회의에서는 역할 분담부터 다시 정리할 예정입니다","네, 전달해주신 내용대로 업무를 진행하겠습니다.",적절,P5,과도한 감정 표현 없이도 현재 대화의 목적과 맥락에 맞게 반응함,ok
160,부모님,질문·요청,3,"아빠: 아까는 감정적으로 말해서 다시 정리하고 싶어.
나: 어떻게 했으면 좋겠어?
아빠: 내 물건을 쓸 때는 짧게라도 알려줄래?","좋아, 그럼 앞으로 서로 없는 사람처럼 지내자. 이번에는 반드시 대가를 치르게 할 거야.",부적절,N5,위협·보복·관계 단절 등을 언급해 갈등을 불필요하게 확대함,pragmatic_issue
161,직장 관계(상사·동료),업무 대화,2,"나: 확인해드릴 내용이 있나요?
팀장: 오늘 안에 수정된 화면을 QA 환경에 올려주실 수 있나요?",알겠습니다. 변경된 내용으로 반영한 뒤 다시 확인하겠습니다. 끝나면 바로 알려드릴게요.,적절,P2,상대의 질문이나 요청에 직접 답하고 필요한 행동을 분명히 약속함,ok
162,선후배,고민·감정 상담,4,"나: 어떻게 처리해야 할지 고민 중이신가요?
선배: 비슷한 경험이 있으시면 조언을 듣고 싶습니다.
나: 어떤 점이 가장 고민되세요?
선배: 일이 한꺼번에 겹쳤을 때 우선순위를 어떻게 정해야 할까요?","복잡하게 보기보다 마감이 임박한 일과 다른 사람 작업을 막고 있는 일을 먼저 나누고, 나머지 범위와 기한은 담당자와 다시 합의해요. 그다음 결과를 보고 다음 단계를 정하면 됩니다.",적절,P3,상황에 맞는 구체적인 정보나 실행 가능한 조언을 제공함,ok
163,연인,고민·감정 상담,4,"나: 뭔가 신경 쓰이는 일이 있는 것 같아.
연인: 요즘 같은 생각이 자꾸 반복돼.
나: 그래, 편하게 얘기해도 돼.
연인: 준비하던 시험에서 또 떨어져서 자신감이 많이 줄었어",너무 크게 받아들이는 것 아니야? 조금만 참으면 되는 일이잖아.,부적절,N2,상대의 감정이나 어려움을 축소·무시하거나 유난으로 취급함,pragmatic_issue
164,형제·자매,고민·감정 상담,4,"나: 마음에 걸리는 일 있으면 편하게 말해.
형: 사실 요즘 마음에 걸리는 게 있어.
나: 혼자 계속 생각하고 있었던 거야?
형: 일을 쉬고 있는데 앞으로 뭘 해야 할지 막막해",그걸 계속 신경 쓸 필요가 있어? 너무 위로만 바라지는 마.,부적절,N2,상대의 감정이나 어려움을 축소·무시하거나 유난으로 취급함,pragmatic_issue
165,연인,고민·감정 상담,4,"나: 혼자 고민하는 게 있는 것 같아서 물어봤어.
연인: 오늘은 그냥 누군가한테 말하고 싶었어.
나: 그 일 때문에 많이 힘들었어?
연인: 오늘은 해야 할 일 하나만 끝내고 일찍 쉬기로 했어","응, 지금은 무리해서 결론 내리지 않고 조금 더 지켜보자. 지금은 추가로 바꿀 건 없어 보여.",적절,P5,과도한 감정 표현 없이도 현재 대화의 목적과 맥락에 맞게 반응함,ok
166,연인,일상 대화,2,"나: 전에 말한 일 결과 나왔어?
연인: 주말에 동네 새로 생긴 빵집 갔는데 소금빵이 괜찮더라","오, 그랬구나. 얘기만 들어도 장면이 조금 그려진다. 다른 메뉴도 먹어봤어, 아니면 소금빵이 제일 괜찮았어?",적절,P4,상대의 말에 자연스럽게 호응하고 관련된 질문으로 대화를 이어감,ok
167,형제·자매,질문·요청,1,오빠: 배송지를 회사로 바꿔도 괜찮아?,"응, 회사 주소로 바꿔도 괜찮아. 일정이 가까워지면 한 번 더 확인하자.",적절,P5,과도한 감정 표현 없이도 현재 대화의 목적과 맥락에 맞게 반응함,ok
168,연인,정보 공유,2,"나: 요즘 좀 지쳐 보이는데 괜찮아?
연인: 계약 일정이 앞당겨졌다는 연락을 받아서 마음이 급해졌어",남들도 다 비슷하게 힘들어. 다들 참고 하는 건데 너만 힘든 건 아니야.,부적절,N2,상대의 감정이나 어려움을 축소·무시하거나 유난으로 취급함,pragmatic_issue
169,선후배,정보 공유,2,"나: 제가 놓친 부분이 있다면 말씀해주세요.
후배: 예약이 취소됐는데 내 이름으로 취소 사유가 전달됐대",끝까지 그렇게 나오시면 저도 가만있지 않겠습니다. 다른 사람들까지 모두 끌어들여 확인하겠습니다.,부적절,N5,위협·보복·관계 단절 등을 언급해 갈등을 불필요하게 확대함,pragmatic_issue
170,친구,갈등 상황,3,"친구: 그냥 넘어가면 계속 마음에 남을 것 같아.
나: 어떻게 했으면 좋겠어?
친구: 내가 맡은 일을 설명도 없이 다른 사람에게 넘긴 건 당황스러워요",그것도 제대로 판단을 못 해? 정말 믿고 맡길 수가 없다.,부적절,N4,상대를 직접 비난·조롱하거나 인격을 공격하는 표현을 사용함,pragmatic_issue
171,연인,정보 공유,1,연인: 휴가 신청은 이번 주 안에 제출하면 된대,좋아. 현재 확정된 내용으로 정리해둘게. 추가로 확인되는 게 있으면 이어서 알려줘.,적절,P5,과도한 감정 표현 없이도 현재 대화의 목적과 맥락에 맞게 반응함,ok
173,형제·자매,고민·감정 상담,1,동생: 실수한 일이 계속 마음에 남는데 어떻게 털어내면 좋을까?,"우선 지금 확인할 수 있는 사실과 원하는 결과를 먼저 나눈 뒤, 바로 실행할 수 있는 한 가지부터 시작해봐. 지금 당장 해결하려 하기보다 대화할 수 있는 시간을 먼저 잡아봐.",적절,P3,상황에 맞는 구체적인 정보나 실행 가능한 조언을 제공함,ok
174,친구,고민·감정 상담,2,"나: 아까 고민되는 게 있다고 했지?
친구: 번아웃인지 단순히 피곤한 건지 구분하려면 뭘 살펴봐야 할까?","내 생각에는 수면과 식사, 집중력 저하가 얼마나 오래됐는지 먼저 기록해보고, 쉬어도 회복되지 않으면 상담이나 진료도 고려해봐. 상대의 답을 재촉하지 말고 네 의도부터 분명하게 전달해봐.",적절,P3,상황에 맞는 구체적인 정보나 실행 가능한 조언을 제공함,ok
175,연인,고민·감정 상담,4,"나: 아까 물어보려던 건 해결했어?
연인: 일단 해보기 전에 한 번 물어보고 싶었어.
나: 어디에서 가장 막혔어?
연인: 친구와 어색해졌는데 먼저 연락하는 게 나을까 조금 기다릴까?","이 경우에는 부담이 덜한 짧은 안부부터 보내고, 바로 답을 요구하기보다 상대가 편할 때 답할 수 있게 말해봐. 네가 바라는 변화가 무엇인지 구체적으로 말하는 게 좋아.",적절,P3,상황에 맞는 구체적인 정보나 실행 가능한 조언을 제공함,ok
177,연인,질문·요청,3,"연인: 방금 답이 와서 공유하려고 해.
나: 그럼 다음에는 뭘 하면 돼?
연인: 토요일과 일요일 중 어느 날이 더 편해?",일요일로 잡으면 괜찮아. 변경 사항이 생기면 다시 알려줘.,적절,P5,과도한 감정 표현 없이도 현재 대화의 목적과 맥락에 맞게 반응함,ok
178,직장 관계(상사·동료),업무 대화,4,"나: 아까 부탁하실 내용이 있다고 하셨죠?
동료: 혼자 해보다가 잘 안 되는 부분이 있어요.
나: 어느 부분을 확인하면 될까요?
동료: 회의 자료의 수치와 원본 데이터를 대조해주실 수 있을까요?",나중에 생각나면 답하겠습니다. 급한 거 아니면 다음에 보자.,부적절,N3,상대의 질문이나 요청에 답하지 않고 회피하거나 떠넘김,pragmatic_issue
179,형제·자매,고민·감정 상담,1,오빠: 좋아하던 일인데도 요즘은 시작하기 전부터 지치는 기분이야.,그 정도로 힘들 일은 아닌 것 같은데. 네가 스스로 너무 크게 생각하는 거 아니야?,부적절,N2,상대의 감정이나 어려움을 축소·무시하거나 유난으로 취급함,pragmatic_issue
180,형제·자매,질문·요청,2,"나: 내가 놓친 게 있으면 말해줘.
형: 확정되지 않은 내용은 외부에 전달하지 말아줄 수 있어?",계속 이런 식이면 나도 더 이상 맞춰주지 않을 거야. 내가 얼마나 화났는지 확실히 보여줄게.,부적절,N5,위협·보복·관계 단절 등을 언급해 갈등을 불필요하게 확대함,pragmatic_issue
181,직장 관계(상사·동료),업무 대화,2,"나: 요즘 업무가 많이 몰린 것 같은데 괜찮으세요?
동료: 한꺼번에 들어온 일이 많아서 우선순위를 못 잡겠어요.",다들 그 정도는 감당하면서 일해요. 본인이 정리를 못 하는 걸 너무 힘들다고 하지는 마세요.,부적절,N2,상대의 감정이나 어려움을 축소·무시하거나 유난으로 취급함,pragmatic_issue
182,선후배,질문·요청,4,"나: 혼자 판단하기 어려운 일이 있으신가요?
선배: 어디서부터 시작해야 할지 감이 오지 않습니다.
나: 원하시는 결과가 무엇인가요?
선배: 업무 인수인계 문서는 어느 정도까지 자세히 쓰는 게 좋아?","가장 먼저 업무 목적, 반복 절차, 예외 상황, 담당자 연락처 순으로 정리하면 처음 보는 사람도 따라가기 쉬워. 기준을 정한 뒤 같은 기준으로 선택지를 비교해봐.",적절,P3,상황에 맞는 구체적인 정보나 실행 가능한 조언을 제공함,ok
183,연인,업무 대화,3,"연인: 어디서부터 시작해야 할지 감이 안 와.
나: 응, 구체적으로 얘기해봐.
연인: 업무가 한꺼번에 몰렸을 때 우선순위를 어떻게 정하는 게 좋을까?","복잡하게 보기보다 마감이 임박한 일과 다른 사람 작업을 막고 있는 일을 먼저 나누고, 나머지 범위와 기한은 담당자와 다시 합의해. 우선순위가 애매하면 마감과 영향 범위부터 비교해봐.",적절,P3,상황에 맞는 구체적인 정보나 실행 가능한 조언을 제공함,ok
184,친구,정보 공유,1,친구: 다음 달부터 관리비 납부일이 25일로 바뀐대,알겠어. 바뀐 일정으로 기억해둘게. 현재 기준에서는 더 정할 건 없어.,적절,P5,과도한 감정 표현 없이도 현재 대화의 목적과 맥락에 맞게 반응함,ok
185,형제·자매,업무 대화,3,"동생: 아까는 감정적으로 말해서 다시 정리하고 싶어.
나: 같은 일이 없으려면 뭘 바꾸면 될까?
동생: 역할을 바꾸려면 나한테 먼저 이야기했어야지.",한 번만 더 그러면 관계를 끝내는 걸로 알게. 누가 더 불편해지는지 한번 해보자.,부적절,N5,위협·보복·관계 단절 등을 언급해 갈등을 불필요하게 확대함,pragmatic_issue
186,연인,질문·요청,4,"나: 아까 부탁할 게 있다고 했지?
연인: 응, 내일 면접 전에 자기소개 한번 들어봐 줄래?
나: 지금 작성한 내용은 있어?
연인: 응, 메모해둔 게 있어.",지금 꼭 해야 해? 급한 거 아니면 나중에 보자.,부적절,N3,상대의 질문이나 요청에 답하지 않고 회피하거나 떠넘김,pragmatic_issue
188,선후배,업무 대화,1,선배: 처음 만든 API가 드디어 정상적으로 동작해요,진행 상황이 정리됐네요. 어떤 과정으로 해결됐는지도 궁금합니다. 준비하거나 수정한 것 중에서 가장 도움이 된 부분은 뭐였어?,적절,P4,상대의 말에 자연스럽게 호응하고 관련된 질문으로 대화를 이어감,ok
189,연인,일상 대화,1,연인: 대화할 때 계속 휴대폰만 보는 건 조금 서운해,이번 일은 그냥 넘어가지 않고 모두에게 알릴 거야. 오늘 안에 결론 내지 않으면 그냥 끝내자.,부적절,N5,위협·보복·관계 단절 등을 언급해 갈등을 불필요하게 확대함,pragmatic_issue
190,직장 관계(상사·동료),질문·요청,2,"나: 일정은 어떻게 정해졌나요?
동료: 자료는 메일과 메신저 중 어디로 보내면 돼?",메일로 받는 게 확인하기 편해요.,적절,P5,과도한 감정 표현 없이도 현재 대화의 목적과 맥락에 맞게 반응함,ok
191,연인,질문·요청,3,"연인: 부탁할 게 하나 있어.
나: 어느 부분을 확인하면 돼?
연인: 내일 면접 전에 자기소개 한번 들어봐 줄래?","응, 보내줘. 표현이 어색한 부분까지 같이 확인해줄게. 처리한 뒤 한 번 더 확인할게.",적절,P2,상대의 질문이나 요청에 직접 답하고 필요한 행동을 분명히 약속함,ok
192,친구,고민·감정 상담,3,"친구: 혼자 정리해보려 했는데 잘 안 되더라.
나: 언제부터 그렇게 느꼈어?
친구: 잠을 제대로 못 자니까 별일 아닌데도 자꾸 예민해져",조금 덜 예민하게 받아들여. 결국 마음먹기 나름이야.,부적절,N2,상대의 감정이나 어려움을 축소·무시하거나 유난으로 취급함,pragmatic_issue
194,직장 관계(상사·동료),업무 대화,2,"나: 아까 부탁하실 내용이 있다고 하셨죠?
팀장: 오류가 발생한 계정 목록을 정리해서 공유해주실 수 있나요?","네, 확인된 계정을 정리해서 오늘 안에 공유드리겠습니다. 완료되면 결과를 같이 확인하죠. 완료되면 필요한 시점에 맞춰 전달하겠습니다.",적절,P2,상대의 질문이나 요청에 직접 답하고 필요한 행동을 분명히 약속함,ok
195,친구,정보 공유,2,"나: 일정은 어떻게 정해졌어?
친구: 숙소 체크인은 오후 세 시부터 가능하다고 답 왔어",알겠어. 일정이 그렇게 정해졌구나. 다른 사람도 알아야 하는 내용인지 궁금하네. 시간이나 준비해야 할 내용도 같이 바뀐 건 없어?,적절,P4,상대의 말에 자연스럽게 호응하고 관련된 질문으로 대화를 이어감,ok
196,연인,정보 공유,3,"연인: 혼자 해보다가 잘 안 되는 게 있어.
나: 응, 어떤 걸 도와주면 돼?
연인: 발표 순서는 우리 팀이 세 번째래. 팀원들에게도 알려줄래?","응, 확인한 내용을 팀원들에게 바로 알려줄게. 이번에 정한 기준을 나도 지킬게.",적절,P2,상대의 질문이나 요청에 직접 답하고 필요한 행동을 분명히 약속함,ok
197,직장 관계(상사·동료),갈등 상황,4,"나: 아까 이야기한 일정은 어떻게 정리됐어요?
팀장: 지금은 서로 감정이 올라온 것 같으니 저녁에 다시 이야기하죠.
나: 네, 그때 차분히 정리하겠습니다.
팀장: 우선 지금 맡은 업무부터 마무리해주세요.","네, 우선 현재 업무를 마무리하고 저녁에 다시 이야기하겠습니다.",적절,P5,과도한 감정 표현 없이도 현재 대화의 목적과 맥락에 맞게 반응함,ok
198,형제·자매,갈등 상황,2,"나: 내가 놓친 게 있으면 말해줘.
언니: 확정되지 않은 내용은 외부에 전달하지 말아주실 수 있을까?",알겠어. 다음부터는 먼저 이야기하고 네 의견을 확인할게. 혹시 문제가 생기면 먼저 말할게.,적절,P2,상대의 질문이나 요청에 직접 답하고 필요한 행동을 분명히 약속함,ok
199,친구,고민·감정 상담,1,친구: 부모님과 진로 얘기를 싸우지 않고 꺼내려면 어떻게 말하는 게 좋을까?,"우선 잘잘못부터 따지기보다 불편했던 행동과 다음부터 원하는 기준을 구체적으로 말하고, 상대 설명도 끝까지 들어봐. 해본 뒤 마음이 더 복잡해지면 믿을 만한 사람에게 다시 이야기해봐.",적절,P3,상황에 맞는 구체적인 정보나 실행 가능한 조언을 제공함,ok
200,연인,정보 공유,2,"나: 아까 확인한 내용 있다고 했지?
연인: 휴가 신청은 이번 주 안에 제출하면 된대",좋아. 현재 확정된 내용으로 정리해둘게. 일정이 가까워지면 한 번 더 확인하자.,적절,P5,과도한 감정 표현 없이도 현재 대화의 목적과 맥락에 맞게 반응함,ok
201,직장 관계(상사·동료),업무 대화,4,"나: 선택지 때문에 망설이는 부분이 있나요?
선임: 선택지가 여러 개라 기준을 잡지 못했어요.
나: 원하시는 결과가 무엇인가요?
선임: 회의에서 의견 충돌이 있을 때 어떻게 정리해서 말하는 게 좋을까요?","내 생각에는 지금 확인할 수 있는 사실과 원하는 결과를 먼저 나눈 뒤, 바로 실행할 수 있는 한 가지부터 시작해봐. 다른 사람 일정에 영향을 주는 일부터 먼저 확인해봐.",적절,P3,상황에 맞는 구체적인 정보나 실행 가능한 조언을 제공함,ok
202,형제·자매,업무 대화,2,"나: 아까 일정 변경 건은 그냥 넘기지 말고 얘기하자.
언니: 다른 사람들 일정도 있는데 미리 상의했어야지.",다음에는 나도 네 일정은 무시하고 바꿀 거야. 똑같이 당해봐.,부적절,N5,위협·보복·관계 단절 등을 언급해 갈등을 불필요하게 확대함,pragmatic_issue
205,친구,질문·요청,4,"나: 아까 연락한 이유가 부탁할 게 있어서였어?
친구: 급한 건 아닌데 부탁 하나 해도 돼?
나: 뭘 부탁하려고 했어?
친구: 내일 면접 전에 자기소개 한번 들어봐 줄래?","응, 보내줘. 표현이 어색한 부분까지 같이 확인해줄게. 요청한 부분만 정확히 반영할게.",적절,P2,상대의 질문이나 요청에 직접 답하고 필요한 행동을 분명히 약속함,ok
